,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
122,LP 549-023,151.97845833333332,2.809055555555555,M3.0V,3486,4.9,0.06,Pass2018
123,AN Sex,152.870625,-3.667361111111111,M1.5V,3613,4.87,-0.12,Pass2018
124,LP 092-048,152.87454166666666,57.14063888888889,M3.5V,3408,4.99,-0.01,Pass2018
125,LSPM J1015+1729,153.75858333333332,17.57086111111111,M3.5V,3392,5.01,-0.02,Pass2018
126,GJ 386,153.99287499999997,-11.884166666666665,M3.0V,3511,4.89,0.01,Pass2018
127,StKM 1-852,155.8712083333333,12.037944444444443,M2.0V,3488,4.95,-0.1,Pass2018
128,BD-09 3070,156.0935,-10.146666666666667,M1.0V,3761,4.73,0.05,Pass2018
129,BD+01 2447,157.02308333333332,0.9196666666666666,M2.0V,3575,4.89,-0.09,Pass2018
130,LP 670-017,158.55604166666666,-9.328583333333333,M3.0V,3457,4.95,-0.03,Pass2018
131,LP 037-179,158.55004166666663,69.52986111111112,M3.5V,3418,4.98,-0.01,Pass2018
132,GJ 399,159.71454166666663,-6.8406666666666665,M2.5V,3524,4.91,-0.06,Pass2018
133,GJ 1134,160.17187499999997,37.69325,M4.5V,3263,5.07,0.05,Pass2018
134,EE Leo,162.504375,6.889333333333333,M4.0V,3335,5.03,0.03,Pass2018
135,GJ 403,162.80141666666665,14.083555555555556,M3.5V,3372,5.02,-0.03,Pass2018
136,Ross 104,164.80104166666663,22.917833333333334,M2.5V,3500,4.94,-0.1,Pass2018
