,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
341,HD078050,136.67886,20.50986,G0,4900,2.55,-1.05,TGMET
342,HD078235,137.00021,29.65423,G8III,5070,2.8,-0.14,TGMET
343,HD078366,137.2128,33.88222,F9V,6016,4.59,0.03,TGMET
344,HD079181,137.99473,-19.74763,G8III,4867,2.4,-0.28,TGMET
345,HD079210,138.59496,52.68659,M0V,,,,TGMET*
346,HD079211,138.6029,52.68641,K2,,,,TGMET*
347,HD079555,138.72358,4.4429,K0,4803,,,TGMET*
348,HD079910,139.17391,-6.35315,K2III,4521,,,TGMET*
349,HD080546,140.36326,32.90215,K3III,4601,2.25,-0.05,TGMET
350,HD080606,140.65653,50.60374,G5,5598,4.45,0.39,TGMET
351,HD081688,142.16662,45.60148,K0III-IV,4789,2.3,-0.23,TGMET
352,HD082106,142.47844,5.65513,K3V,4840,4.4,0.03,TGMET
353,HD082443,143.18233,26.98853,K0,5278,4.49,-0.23,TGMET
354,HD082885,143.9146,35.81014,G8IV-V,5563,4.5,0.34,TGMET
355,HD082969,144.40629,60.21368,G5,4948,2.7,-0.22,TGMET
356,HD083240,144.30279,6.83581,K1IIIvar,4682,2.45,-0.02,TGMET
357,HD083371,144.79477,43.14417,K0,4861,2.6,-0.39,TGMET
358,HD084441,146.46281,23.77426,G0II,5394,1.87,-0.05,TGMET
359,HD085503,148.1909,26.00695,K0III,4509,2.29,0.31,TGMET
360,HD086513,149.90089,29.64523,G9III:,4755,2.3,-0.08,TGMET
361,HD086728,150.25274,31.92367,G1V,5753,4.33,0.2,TGMET
362,HD086856,150.61812,44.57851,K0,,,,TGMET*
363,HD087140,151.17992,54.3454,K0,5127,2.69,-1.8,TGMET
364,HD087883,152.17975,34.24226,K0,4865,4.5,0.08,TGMET
365,HD088230,152.84225,49.45424,K8V,3876,4.51,-0.03,TGMET
366,HD088609,153.62076,53.56093,G5IIIwe,4566,1.07,-2.8,TGMET
367,HD088725,153.53473,3.1513,G1V,5656,4.38,-0.63,TGMET
368,HD089010,154.13454,23.5031,G2IV,5652,4.0,-0.05,TGMET
369,HD089269,154.71645,44.04832,G5,5652,4.42,-0.22,TGMET
370,HD089668,155.18086,-1.46983,K3V,4660,,,TGMET*
371,HD090343,158.7969,84.39932,K0,,,,TGMET*
372,HD090507,157.01365,48.96397,G5,,,,TGMET*
373,HD090633,157.47682,65.62623,K2III:,4596,2.3,0.02,TGMET
374,HD090875,157.69579,59.7511,K5,,,,TGMET*
375,HD093215,161.53848,25.76102,G5V,5796,,,TGMET*
376,HD093291,161.60532,14.19465,G4III:,5061,2.75,-0.05,TGMET
377,HD093875,162.84885,59.32012,K2III,4590,2.25,0.06,TGMET
